1571995996,3,0,3,"C2,CA,CK,C5;S3,S5,S2,S10;C6,C7,C4,C3;S4,S7,S6,HA;S9,SJ,S8,HK;C9,CQ,C8,H10;D7,D6,D2,D5;C10,SA,SQ,H9;CJ,SK,DA,H8;D9,DK,D3,DQ;H6,H4,DJ,H2;D10,HQ,D4,H5;HJ,H7,D8,H3"
1571995996,3,2,3,"CK,CA,C10,C2;S3,SJ,S4,S2;C3,C5,C9,SQ;D4,D2,D3,D10;SK,HK,S5,S7;D6,D5,D9,SA;DQ,D7,DJ,HA;C4,C7,H8,HQ;H3,D8,DK,H9;CQ,HJ,S6,S8;CJ,H10,S9,S10;C8,H2,H5,H4;C6,DA,H7,H6"
1571995996,3,11,3,"CJ,C2,CK,CA;S4,S3,S2,S9;C5,C4,C7,C3;S5,SA,S6,SQ;HK,C8,HJ,C6;HQ,C9,H5,C10;H9,H8,H3,CQ;DJ,D3,D2,D4;D7,D8,D5,D9;D10,DQ,D6,DK;S8,H7,S7,SK;H4,H2,DA,H10;SJ,H6,S10,HA"
1571995996,3,7,3,"C9,CA,C2,C10;S2,S10,S4,S3;C5,C6,C3,C4;SQ,C8,C7,H6;SA,CJ,CQ,H4;SK,HK,CK,H3;DQ,D2,D9,D4;S5,HQ,S9,S7;HA,D3,D10,D6;H9,D5,DJ,DK;H5,D7,HJ,DA;S6,H8,H10,S8;H2,D8,H7,SJ"
1571995996,3,0,3,"CQ,C2,CK,CJ;S9,S2,S5,S3;SJ,S10,HA,S4;C5,C3,C4,SK;C10,C8,C6,HK;D4,D3,D6,D2;SA,C9,C7,HQ;H7,CA,H10,H8;D5,D8,D7,DJ;H3,SQ,H9,S6;D10,DQ,D9,H6;DA,H5,H2,S8;DK,HJ,H4,S7"
1571995996,3,13,3,"C5,C2,C8,CK;S5,S2,S6,S3;C3,C6,C4,CQ;HA,C9,C7,C10;DQ,CA,SQ,CJ;D5,D7,D2,D4;D6,D9,D3,DA;S7,S4,SK,SA;D10,H4,H2,H6;SJ,H5,H3,H10;S10,H7,H9,HJ;S9,H8,DK,HQ;S8,DJ,D8,HK"
1571995996,3,9,3,"C2,CK,CJ,CQ;S9,S5,S2,S3;C5,C3,C6,C10;SQ,HA,S10,S4;C8,C4,C9,SA;D3,D6,D7,D2;D4,DK,D10,D8;CA,C7,HJ,SK;D5,H10,H9,DQ;HK,H8,SJ,S6;DA,H3,H2,HQ;DJ,H7,H6,S7;D9,H4,H5,S8"
1571995996,3,15,3,"CJ,C2,C7,CK;S7,SK,S2,S4;C4,C5,C3,C10;S8,SA,S3,S6;C6,C8,SQ,CQ;D2,D5,D7,D9;D3,D6,DQ,DA;HA,H10,S5,SJ;HQ,H3,H4,H2;D4,DJ,DK,HK;H6,H7,S9,HJ;D10,CA,S10,H9;D8,C9,H8,H5"
1571995996,3,3,3,"CQ,CK,CJ,C2;S3,S2,S7,S5;HJ,C3,C7,C6;H9,C4,C8,C9;S4,HK,SQ,S6;D3,D4,D2,D6;S9,H7,SK,S8;D8,D7,D5,SA;D9,DQ,D10,H10;DJ,DA,DK,H5;H8,C5,HA,CA;SJ,H4,HQ,S10;H6,C10,H3,H2"
1571995996,3,4,3,"CK,CJ,CA,C2;S3,S6,S2,S8;C4,C3,C8,C6;S4,S9,S5,HA;S7,SJ,S10,H10;C9,C5,CQ,C7;D7,D4,D10,D2;DK,D5,DQ,D3;C10,SA,SQ,H6;H3,H4,H2,H5;HK,DJ,SK,D6;H8,DA,HQ,D8;H7,H9,HJ,D9"
1571995996,3,0,3,"CQ,C2,C10,CJ;S8,S4,S3,S2;C5,C3,C4,HA;C7,CK,C6,HK;SQ,S6,S5,H10;D2,D4,D3,D5;DJ,DQ,DK,D6;SA,SJ,S7,H9;C8,CA,HQ,H5;HJ,DA,H4,D7;H8,SK,S9,D10;H3,H6,H2,D9;C9,H7,S10,D8"
1571995996,3,0,3,"CA,C4,CK,C2;C5,C3,C8,C7;SA,S3,S2,S4;C6,SQ,C9,HA;D2,D4,D3,DA;D7,D9,D6,D5;DQ,D10,D8,HQ;DK,DJ,SK,HJ;C10,H4,HK,H9;CJ,SJ,H10,H7;CQ,S9,H2,H5;H6,S7,S8,H3;H8,S6,S5,S10"
1571995996,3,0,3,"CA,CQ,C2,CK;S2,S3,S4,S6;C3,C6,C5,C9;C4,C8,C7,C10;D4,D5,D3,D2;SQ,S5,S7,HK;D6,D8,SA,D7;D9,DK,SK,D10;HQ,S10,S8,H8;H10,SJ,S9,H3;H5,CJ,HJ,DA;H2,H7,H6,DQ;H4,HA,H9,DJ"
1571995996,3,1,3,"CA,C2,C10,CQ;S4,S2,S7,S3;S5,S8,S9,S6;HA,SJ,S10,SA;CJ,C6,C4,C3;C8,C7,C5,H10;D2,DA,D5,D3;HK,CK,C9,H9;DQ,D6,D8,D4;DK,D7,D9,D10;H2,HJ,H6,H3;H5,H7,HQ,H4;H8,SQ,SK,DJ"
1571995996,3,2,3,"CJ,CA,C10,C2;S9,S2,S5,S7;C5,C3,HA,C4;C6,C7,HQ,CQ;C8,SA,H9,CK;D2,D5,D9,D3;SK,S3,S8,SQ;C9,HK,H6,HJ;D4,DA,D10,D6;D7,DQ,H5,DJ;H2,S4,S10,H8;DK,S6,SJ,H7;D8,H10,H3,H4"
1571995996,3,0,3,"CJ,C2,CA,CK;S4,S2,S8,S3;H9,S6,S9,S5;C6,C5,C3,C4;C10,C8,SA,C7;D3,D2,D7,D9;H7,SJ,HJ,S7;H5,C9,H10,SQ;D4,D8,D10,HA;D5,SK,DJ,HK;D6,HQ,DQ,H6;DA,H8,H3,H2;DK,CQ,H4,S10"
1571995996,3,4,3,"C10,CA,C2,CK;C4,C3,C6,C5;S6,SQ,S2,S3;HK,C7,HQ,CJ;H10,C8,HJ,CQ;D5,D2,DA,D3;SJ,SK,S7,S4;H7,C9,H8,SA;D7,D6,H6,D4;D8,DJ,H4,H9;D9,DK,H3,S10;DQ,H5,H2,S8;D10,HA,S9,S5"
1571995996,3,2,3,"CJ,C2,CA,CK;S6,S4,S5,S2;S7,S9,S8,S3;C9,C3,C4,C6;SJ,SQ,SA,S10;SK,C5,C7,C10;HA,HK,C8,CQ;D3,D4,D2,D6;DJ,D7,D5,D8;H4,H2,H5,H3;HQ,DK,D10,D9;H10,DA,DQ,H8;H9,H7,HJ,H6"
1571995996,3,0,3,"CJ,CA,C2,C9;S4,S3,S5,S2;C4,C3,C6,SK;C8,C5,C7,HQ;S6,S10,H8,S7;D10,D4,D2,D3;S8,SQ,H4,SJ;DK,D8,D6,D5;S9,SA,DA,H6;H2,H5,D9,H3;H9,H7,CK,DQ;HJ,H10,CQ,DJ;HK,HA,C10,D7"
