1571999021,2,22,1,"CK,C2,C10,CA;S5,S8,S7,S2;C6,C4,C5,C3;S6,HK,S10,S3;C7,C8,C9,CQ;S9,H9,SQ,S4;DK,D3,D2,D5;SJ,H3,SA,SK;HJ,D4,D8,D10;H6,D6,DA,DJ;H4,DQ,H7,H2;H5,D9,H8,H10;CJ,D7,HA,HQ"
1571999021,2,6,1,"CA,DJ,C2,CJ;S7,S4,S2,S3;C8,HQ,C4,C3;C10,H8,C7,C5;CQ,H7,C9,C6;D2,D6,D4,D3;SQ,S5,S6,S10;D9,D5,D7,D8;DQ,H6,SA,D10;DA,H4,HK,DK;SK,S8,S9,HJ;H9,H3,H10,H2;HA,SJ,CK,H5"
1571999021,2,0,1,"CQ,CA,C2,C10;S3,S4,S6,S2;S5,S8,S7,HQ;SQ,S10,S9,H5;C6,CJ,C3,C5;C9,C7,C4,C8;D2,D3,SA,D5;D4,D8,SK,D6;D7,D9,H7,DJ;HJ,D10,H6,DQ;H9,HA,H3,DK;H8,HK,CK,DA;H2,H10,SJ,H4"
1571999021,2,0,1,"C4,C2,C9,CA;S3,S2,S4,S8;S5,S9,S6,SJ;SQ,C3,SK,C6;SA,C5,HA,CQ;HQ,C7,H7,CK;D3,D10,D2,D4;D8,DK,D5,D7;H8,C8,H3,HK;H6,C10,H2,H10;H5,CJ,DQ,H9;S10,H4,D9,DA;S7,HJ,D6,DJ"
1571999021,2,6,1,"C2,CA,CQ,CJ;SJ,S3,S5,S2;C7,C5,C3,SQ;C8,C6,C4,SA;D3,D4,D2,D5;D10,HJ,D6,D7;DJ,H10,D8,D9;SK,S4,S6,S9;H2,H6,H7,H4;HK,CK,DA,DQ;H9,S8,S7,HQ;H8,S10,HA,H5;H3,C9,C10,DK"
1571999021,2,3,1,"C10,CK,CA,C2;S2,S5,S3,S4;S7,S6,S8,HQ;SJ,S9,S10,HJ;C4,SK,C6,C3;C5,HA,C8,CQ;D10,D5,D3,D2;C7,H10,CJ,H8;D7,DQ,D8,D4;H9,DK,SQ,D6;H6,DA,SA,D9;H5,H2,H4,H3;C9,H7,HK,DJ"
1571999021,2,16,1,"C10,CA,C2,CK;S2,S9,S6,S3;S5,S10,SK,S4;C5,C4,C3,CJ;S8,HK,SA,S7;C7,HQ,C9,C6;C8,H10,CQ,SQ;D2,D3,D5,D4;D6,D8,D10,D9;HJ,H5,H2,H3;D7,DJ,H8,DQ;DK,H9,H6,DA;HA,H7,H4,SJ"
1571999021,2,1,1,"C2,CJ,CA,CQ;S5,S2,S4,S9;SA,S3,S6,S10;CK,C3,SQ,C6;D4,D2,D6,D3;D5,D7,D8,HQ;D10,DK,D9,H7;HA,S7,HK,SJ;H5,C4,HJ,C7;H3,C5,H10,C8;DA,C10,H9,C9;DQ,S8,H8,H6;DJ,SK,H4,H2"
1571999021,2,15,1,"CJ,C10,C8,C2;S2,S3,S8,S7;S4,S6,S9,HK;S5,SK,SJ,HQ;C7,C6,C3,C5;S10,HJ,SQ,DA;HA,C9,C4,CQ;H10,H9,SA,CK;H8,H4,H7,CA;D4,D3,D2,D7;D5,D6,DJ,D8;H3,DQ,H2,DK;H6,D9,H5,D10"
1571999021,2,1,1,"C8,C2,CA,CQ;C5,C3,C4,C9;S2,S3,HK,S4;S6,S5,H10,S7;S8,SJ,H9,S9;C6,CJ,C10,SQ;D8,D6,D2,D4;DA,DQ,D3,D7;SA,HJ,H4,S10;C7,H8,CK,SK;HA,DK,D5,D9;H3,H6,H2,H5;HQ,H7,D10,DJ"
