1571996535,2,17,2,"C9,CQ,C2,C10;S5,S3,S7,S2;S6,HQ,SJ,S4;C4,C3,C7,C5;HK,C6,CK,C8;HJ,CJ,CA,SQ;D2,D3,DQ,D8;S9,H10,SK,S8;H5,H4,H2,SA;D5,D4,HA,D10;D7,D6,H7,DJ;D9,DA,H6,DK;H9,H8,H3,S10"
1571996535,2,6,2,"CA,CK,C2,C9;C5,CQ,C4,C3;SQ,S4,S2,S3;C7,C8,C6,SA;C10,CJ,HK,HQ;D4,D5,D2,D6;DK,D7,D3,DJ;DQ,D8,D9,HJ;SK,S5,S6,S7;H3,H4,H7,H2;HA,D10,DA,H10;H9,S10,S8,S9;H5,H8,SJ,H6"
1571996535,2,2,2,"CA,C2,C10,C8;S3,S7,S2,S4;S5,S10,S8,SQ;C5,C4,C3,C6;D2,D7,D3,D5;D4,DK,SA,D6;CJ,C7,HJ,SK;D9,HK,H8,D8;DA,HQ,H7,D10;S6,H10,S9,HA;H2,CK,H3,H4;H9,CQ,H6,DJ;SJ,C9,H5,DQ"
1571996535,2,0,2,"CK,C5,CQ,C2;SJ,S2,S3,S4;C3,HK,C4,C9;SA,S5,S9,S7;C6,H6,C10,CA;D4,D2,D6,D8;D5,D3,HA,D9;DJ,D7,HJ,D10;C7,H5,H10,SQ;DK,DA,H8,DQ;H7,S6,S10,SK;CJ,H2,H3,H9;C8,S8,H4,HQ"
1571996535,2,0,2,"C9,C2,CA,CQ;S9,S4,S2,S3;S10,S7,SA,S5;C5,C3,C10,C4;C6,C7,CK,C8;D4,D3,D2,DK;SQ,SK,H9,S6;HA,CJ,H5,H8;DA,D9,D5,D7;H4,H2,H3,H6;HK,DQ,D6,D10;H7,HJ,DJ,SJ;H10,HQ,D8,S8"
1571996535,2,11,2,"CA,CQ,C2,CJ;S4,S7,S3,S2;SQ,C10,C4,C3;D3,D4,D2,D6;HK,HA,C6,C5;DK,D5,D7,D9;S5,HQ,S6,SK;H10,HJ,C8,C7;S8,H9,S9,H5;SJ,H7,S10,DQ;H2,H4,H6,DJ;H8,DA,SA,D10;H3,D8,CK,C9"
1571996535,2,0,2,"CJ,CA,CQ,C2;S2,S4,S3,S6;S8,S5,S7,S10;C4,C3,SK,C5;C6,C8,HA,CK;D7,D10,D3,D2;SQ,S9,SJ,HK;SA,HQ,H5,HJ;C7,H10,H3,H9;C9,H7,DJ,H4;C10,H2,D9,DA;H6,DK,D5,D8;H8,DQ,D4,D6"
1571996535,2,23,2,"CQ,C2,C10,C7;S8,SJ,S4,S2;C5,CK,C8,C3;C9,CA,SA,C4;D3,D2,D6,SQ;D8,D4,D10,HJ;D9,D5,DQ,H2;SK,D7,DK,C6;HQ,DJ,DA,S9;H6,HK,S10,S3;H4,H3,H7,S7;H5,H9,H8,S6;CJ,H10,HA,S5"
1571996535,2,11,2,"CA,CJ,C2,C10;S2,S5,S4,S8;S3,S6,HA,SJ;SA,C8,C5,C3;S9,S7,HQ,SQ;SK,HK,C6,C4;D4,D2,D7,D3;D8,D5,DK,DJ;HJ,H7,C7,H8;H9,H6,C9,H5;H4,H3,CQ,H2;D10,D9,CK,DA;S10,D6,H10,DQ"
1571996535,2,0,2,"C10,CA,C2,CQ;S5,SJ,S2,S3;D3,D2,DJ,D5;S7,SQ,S4,S6;D4,D7,H3,D8;C5,SK,C3,C4;C7,HA,C6,C8;D6,DQ,CK,D10;H2,H6,CJ,H8;D9,HQ,C9,DK;H7,HJ,S10,DA;H5,H10,S8,SA;H4,H9,S9,HK"
